link,image,name,pronouns
https://io.google/2022/speakers/aaron-wanjala/,https://io.google/2022/speakers/5068e7de-bc55-4975-a101-570ba524ce0b_240.webp,Aaron Wanjala,he / him
https://io.google/2022/speakers/adam-argyle/,https://io.google/2022/speakers/5ed61ce3-21b8-4009-ba6f-381bc2bb9883_240.webp,Adam Argyle,he / him
https://io.google/2022/speakers/adam-chan/,https://io.google/2022/speakers/3660e203-7108-4b0b-9ebc-877294b87ab6_240.webp,Adam Chan,he / him
https://io.google/2022/speakers/adam-koch/,https://io.google/2022/speakers/56047c42-478d-41c2-b2ce-c575be88aab0_240.webp,Adam Koch,he / him
https://io.google/2022/speakers/adarsh-fernando/,https://io.google/2022/speakers/d9a253d1-e97e-4051-9087-ecfc952f463a_240.webp,Adarsh Fernando,
https://io.google/2022/speakers/adriana-jara/,https://io.google/2022/speakers/bcd78c8f-8569-4944-b3fd-40fcbfb1ea8c_240.webp,Adriana Jara,she / her
https://io.google/2022/speakers/aileen-dalisay/,https://io.google/2022/speakers/078aaa61-6d64-41e5-abd7-fe7450ea6fd3_240.webp,Aileen Dalisay,she / her
https://io.google/2022/speakers/alan-viverette/,https://io.google/2022/speakers/9a8d8d2d-e214-4604-9af4-0cf4a4942ddc_240.webp,Alan Viverette,he / him
https://io.google/2022/speakers/alec-truitt/,https://io.google/2022/speakers/9c9725a6-369c-4714-8877-daecad745a21_240.webp,Alec Truitt,he / him
https://io.google/2022/speakers/alejandra-stamato/,https://io.google/2022/speakers/b61fc60f-3014-4202-aade-fbaa4f30f043_240.webp,Alejandra Stamato,she / her
https://io.google/2022/speakers/alex-spinelli/,https://io.google/2022/speakers/e69a460d-3c20-4ca6-9751-e95d97b71c9d_240.webp,Alex Spinelli,he / him
https://io.google/2022/speakers/alex-vanyo/,https://io.google/2022/speakers/922a9d4a-0362-4277-be58-a08b2609bd10_240.webp,Alex Vanyo,he / him
https://io.google/2022/speakers/alex-wang/,https://io.google/2022/speakers/6d6c2836-30c6-4cd9-b851-72e8d8ab8d6c_240.webp,Alex Wang,he / him
https://io.google/2022/speakers/ali-cevik/,https://io.google/2022/speakers/bd54a174-9d10-4f44-aaba-4083905b31c3_240.webp,Ali Cevik,
https://io.google/2022/speakers/amit-varia/,https://io.google/2022/speakers/f9965195-14ab-4794-8163-d26e241a72ba_240.webp,Amit Varia,
https://io.google/2022/speakers/anastasia-soboleva/,https://io.google/2022/speakers/c13116fb-2eb8-4ad4-a62b-82650460d6e9_240.webp,Anastasia Soboleva,she / her
https://io.google/2022/speakers/andi-gutmans/,https://io.google/2022/speakers/6a21cb37-757d-4db8-89e2-24487f5b24ef_240.webp,Andi Gutmans,
https://io.google/2022/speakers/andre-labonte/,https://io.google/2022/speakers/cde26876-2c7f-492a-b7cc-53c02e491a36_240.webp,André Labonté,he / him
https://io.google/2022/speakers/andrea-wu/,https://io.google/2022/speakers/baa6e562-9809-45ae-ab17-d1d2c594796f_240.webp,Andrea Wu,she / her
https://io.google/2022/speakers/andrew-brogdon/,https://io.google/2022/speakers/28cdb06d-cd06-4433-ac73-dc9baca21c3a_240.webp,Andrew Brogdon,he / him
https://io.google/2022/speakers/andrew-fitz-gibbon/,https://io.google/2022/speakers/50d50947-4947-4488-ac6f-ffe3724d6439_240.webp,Andrew Fitz Gibbon,he / him
https://io.google/2022/speakers/andrey-kulikov/,https://io.google/2022/speakers/0b769487-d994-44af-a941-c945daa21b58_240.webp,Andrey Kulikov,he / him
https://io.google/2022/speakers/andy-russell/,https://io.google/2022/speakers/1d01a67b-6f72-4789-b9e0-0f1048eb5ef4_240.webp,Andy Russell,
https://io.google/2022/speakers/andy-volk/,https://io.google/2022/speakers/99fa12e6-3918-47b4-862e-64ea4d5174a7_240.webp,Andy Volk,he / him
https://io.google/2022/speakers/anna-chiara-bellini/,https://io.google/2022/speakers/3746835e-bc0f-4a90-8f56-4ac7e8e14b33_240.webp,Anna-Chiara Bellini,she / her
https://io.google/2022/speakers/annie-sullivan/,https://io.google/2022/speakers/c0525111-a583-414c-aeeb-c09e899f8f82_240.webp,Annie Sullivan,she / her
https://io.google/2022/speakers/aparna-sinha/,https://io.google/2022/speakers/e5936ef2-57bc-4a15-8c7e-261166491ffc_240.webp,Aparna Sinha,
https://io.google/2022/speakers/arun-venkatesan/,https://io.google/2022/speakers/32c2ccaf-c4f0-41fd-be1c-5f701b49641b_240.webp,Arun Venkatesan,he / him
https://io.google/2022/speakers/ben-hutchinson/,https://io.google/2022/speakers/09e4ef97-c33d-407c-8557-3172aea90c46_240.webp,Ben Hutchinson,he / him
https://io.google/2022/speakers/ben-trengrove/,https://io.google/2022/speakers/24f5d39c-680e-4092-9e10-4876e82a26e8_240.webp,Ben Trengrove,he / him
https://io.google/2022/speakers/ben-weiss/,https://io.google/2022/speakers/ae44ec25-1d35-45ac-9ae4-97128f90f909_240.webp,Ben Weiss,he / him
https://io.google/2022/speakers/bilawal-sidhu/,https://io.google/2022/speakers/fcfcdccb-f8e4-4eb4-9ab6-40f6983bf489_240.webp,Bilawal Sidhu,
https://io.google/2022/speakers/bill-luan/,https://io.google/2022/speakers/fc625cbf-14e6-4454-944b-eb3429b40bf2_240.webp,Bill Luan,he / him
https://io.google/2022/speakers/brad-mckee/,https://io.google/2022/speakers/5fa40214-2ddf-4ed6-9c42-feb5ac0ec478_240.webp,Brad  McKee,he / him
https://io.google/2022/speakers/cameron-balahan/,https://io.google/2022/speakers/a4f942e6-8577-487f-8924-6eec7f81c296_240.webp,Cameron Balahan,
https://io.google/2022/speakers/caren-chang/,https://io.google/2022/speakers/5134e319-c76b-40c7-a77f-f33b057f5f26_240.webp,Caren Chang,she / her
https://io.google/2022/speakers/carly-boddy/,https://io.google/2022/speakers/de34afbe-e6ab-4618-b250-5a3a88528599_240.webp,Carly Boddy,
https://io.google/2022/speakers/chad-allen/,https://io.google/2022/speakers/1d33f0fd-f32e-4462-a38d-dacf5450e8db_240.webp,Chad Allen,
https://io.google/2022/speakers/chen-huang/,https://io.google/2022/speakers/d199105d-7912-43ff-9898-2cb358c3f408_240.webp,Chen Huang,
https://io.google/2022/speakers/cherish-molezion/,https://io.google/2022/speakers/275fcd52-4fd3-4074-965f-3fb4498de34e_240.webp,Cherish Molezion,she / her
https://io.google/2022/speakers/chris-wilk/,https://io.google/2022/speakers/56512572-ae2f-46f6-89c7-1a8b6b2df605_240.webp,Chris Wilk,
https://io.google/2022/speakers/christian-schalk/,https://io.google/2022/speakers/4c22e898-f244-40da-b411-24469f9e3ddb_240.webp,Christian Schalk,
https://io.google/2022/speakers/chuck-jazdzewski/,https://io.google/2022/speakers/695e8783-3012-4af1-b54d-2937322be67b_240.webp,Chuck Jazdzewski,he / him
https://io.google/2022/speakers/cody-oss/,https://io.google/2022/speakers/e5b24694-c119-420f-9cab-ec9129559301_240.webp,Cody Oss,he / him
https://io.google/2022/speakers/craig-labenz/,https://io.google/2022/speakers/6e6fa645-2bf0-4f6c-8ff5-7186d0559cc8_240.webp,Craig Labenz,he / him
https://io.google/2022/speakers/crystal-huang/,https://io.google/2022/speakers/ce8f64f6-23b3-4748-95a0-81e4b18ae937_240.webp,Crystal Huang,she / her
https://io.google/2022/speakers/cynthia-shelly/,https://io.google/2022/speakers/d0265043-171e-4cb9-8a81-ef5366c7df93_240.webp,Cynthia Shelly,
https://io.google/2022/speakers/dale-markowitz/,https://io.google/2022/speakers/6e864022-9e13-4291-b91a-87766a63e95f_240.webp,Dale Markowitz,she / her
https://io.google/2022/speakers/dan-chuparkoff/,https://io.google/2022/speakers/0a900c45-4db1-47e4-adb7-15675498db4c_240.webp,Dan Chuparkoff,he / him
https://io.google/2022/speakers/darryl-mason-robinson/,https://io.google/2022/speakers/ade189ce-ef96-49db-9cc2-d5ab649164fe_240.webp,Darryl-Mason Robinson,he / him
https://io.google/2022/speakers/david-wiesenfeld/,https://io.google/2022/speakers/b3fd27f3-adab-4904-b012-bd476f2f8021_240.webp,David Wiesenfeld,he / him
https://io.google/2022/speakers/dereck-bridie/,https://io.google/2022/speakers/fb131299-67e6-4cef-aca4-f9ddf3ba57ac_240.webp,Dereck Bridie,he / him
https://io.google/2022/speakers/devin-mullins/,https://io.google/2022/speakers/76041a93-a26a-4f1b-996d-a60d7b911e62_240.webp,Devin Mullins,he / him
https://io.google/2022/speakers/diane-wu/,https://io.google/2022/speakers/545899e5-2baf-49cc-9d66-a94118c47910_240.webp,Diane Wu,she / her
https://io.google/2022/speakers/diego-zavala/,https://io.google/2022/speakers/591a4f4c-d8c7-4b42-b356-f33dbb5ea6ab_240.webp,Diego Zavala,
https://io.google/2022/speakers/dikla-cohen/,https://io.google/2022/speakers/ce085f09-f8cf-4239-8d7b-2589a1ccf4d1_240.webp,Dikla Cohen,she / her
https://io.google/2022/speakers/dong-chen/,https://io.google/2022/speakers/4505296d-8889-4eef-9da5-f776a7377da3_240.webp,Dong Chen,
https://io.google/2022/speakers/doug-ferraz/,https://io.google/2022/speakers/dd62cfdb-86a7-4980-893d-a935f92812a3_240.webp,Doug Ferraz,he / him
https://io.google/2022/speakers/eduardo-villasenor/,https://io.google/2022/speakers/ee5ae01a-0522-4349-9831-64c438678fb3_240.webp,Eduardo Villasenor,
https://io.google/2022/speakers/eiji-kitamura/,https://io.google/2022/speakers/94772c49-2428-4fa2-b296-d3dfe80929aa_240.webp,Eiji Kitamura,he / him
https://io.google/2022/speakers/elena-doty/,https://io.google/2022/speakers/8f0b359b-feb4-42e8-92d5-00252bbfeedf_240.webp,Elena Doty,she / her
https://io.google/2022/speakers/emila-yang/,https://io.google/2022/speakers/e78f632f-07e8-4a4b-959c-ccd4431540f9_240.webp,Emila Yang,she / her
https://io.google/2022/speakers/emma-twersky/,https://io.google/2022/speakers/c6907309-63ad-4c64-b32e-e3e351043ed4_240.webp,Emma Twersky,she / her
https://io.google/2022/speakers/eric-lai/,https://io.google/2022/speakers/d7b9cc5a-67ce-403f-93ad-500f6d093746_240.webp,Eric  Lai,he / him
https://io.google/2022/speakers/fahd-imtiaz/,https://io.google/2022/speakers/99bfade4-91d5-4864-b637-405d2cf958e3_240.webp,Fahd Imtiaz,he / him
https://io.google/2022/speakers/felipe-hlibco/,https://io.google/2022/speakers/b76261cf-38e6-4957-ae61-99839d13945d_240.webp,Felipe Hlibco,
https://io.google/2022/speakers/florina-muntenescu/,https://io.google/2022/speakers/a4173770-fbc2-4a9e-9b87-33a4e2cbb486_240.webp,Florina Muntenescu,
https://io.google/2022/speakers/francesco-romano/,https://io.google/2022/speakers/2818aab5-4891-44b8-9ca6-2d73166d3c3c_240.webp,Francesco Romano,
https://io.google/2022/speakers/francois-chollet/,https://io.google/2022/speakers/40ee8d7c-3bc9-4da6-819d-4143b3bf7c9e_240.webp,Francois Chollet,
https://io.google/2022/speakers/georges-nabaa/,https://io.google/2022/speakers/bfd060b4-a03e-4eb0-9032-29e85069f551_240.webp,Georges Nabaa,
https://io.google/2022/speakers/gilberto-cocchi/,https://io.google/2022/speakers/062901b1-f816-4826-b8fa-98227e9f6bb8_240.webp,Gilberto Cocchi,
https://io.google/2022/speakers/greg-spencer/,https://io.google/2022/speakers/a76adb3f-31d7-452f-a2dc-e9badaf4de3f_240.webp,Greg Spencer,he / him
https://io.google/2022/speakers/guillaume-laforge/,https://io.google/2022/speakers/610a048c-ecf6-4986-af87-9b422281ef8d_240.webp,Guillaume Laforge,he / him
https://io.google/2022/speakers/gus-martins/,https://io.google/2022/speakers/3b7b2be9-1846-49b7-854c-60028983e61c_240.webp,Gus Martins,he / him
https://io.google/2022/speakers/hadas-shahar/,https://io.google/2022/speakers/547af6f3-892f-49b8-b6e4-3778b76f49be_240.webp,Hadas Shahar,she / her
https://io.google/2022/speakers/hadyan-andika/,https://io.google/2022/speakers/834271b7-3a75-49f7-9f76-d6388707e35d_240.webp,Hadyan Andika,he / him
https://io.google/2022/speakers/hannah-highfill/,https://io.google/2022/speakers/133e273d-4f77-4fd1-9dcd-8f76ac462e56_240.webp,Hannah Highfill,she / her
https://io.google/2022/speakers/husain-bengali/,https://io.google/2022/speakers/f69df65c-a7da-40ad-a8ce-cfa43802386e_240.webp,Husain Bengali,he / him
https://io.google/2022/speakers/ian-lake/,https://io.google/2022/speakers/23feb752-d9c9-4935-92c8-38974189d7b9_240.webp,Ian Lake,he / him
https://io.google/2022/speakers/ivan-nardini/,https://io.google/2022/speakers/f3eea26c-ba6f-4362-a1c2-a6e5451c0d09_240.webp,Ivan Nardini,he / him
https://io.google/2022/speakers/ivy-knight/,https://io.google/2022/speakers/c9d1537a-c798-446d-8538-4d86b5f22eaf_240.webp,Ivy Knight,she / her
https://io.google/2022/speakers/jaisen-mathai/,https://io.google/2022/speakers/97ffcdc4-0381-4aea-a847-06c8e513c936_240.webp,Jaisen Mathai,
https://io.google/2022/speakers/jake-archibald/,https://io.google/2022/speakers/d905efdb-c45d-49f2-a437-b74b18c6b81b_240.webp,Jake Archibald,he / him
https://io.google/2022/speakers/jamal-eason/,https://io.google/2022/speakers/2aa99846-75c6-4761-961f-c07c273cb7a5_240.webp,Jamal Eason,he / him
https://io.google/2022/speakers/james-daniels/,https://io.google/2022/speakers/c1c311c2-7c21-4e13-a08c-8cb0fd536c60_240.webp,James Daniels,
https://io.google/2022/speakers/james-heather/,https://io.google/2022/speakers/2e20a7a2-3ec8-49de-9589-64ac5b908635_240.webp,James Heather,
https://io.google/2022/speakers/jared-finder/,https://io.google/2022/speakers/3e2bc19b-9717-4a9f-a38b-c7c5d8422188_240.webp,Jared Finder,he / him
https://io.google/2022/speakers/jason-mayes/,https://io.google/2022/speakers/f6f7e469-7139-4d8f-8fa4-28332dedd2f5_240.webp,Jason Mayes,
https://io.google/2022/speakers/jay-civelli/,https://io.google/2022/speakers/00b898bd-d301-41c9-b2f1-9c06c5cab90a_240.webp,Jay Civelli,
https://io.google/2022/speakers/jecelyn-yeen/,https://io.google/2022/speakers/cd4d7c00-5f4b-485e-acd2-793cfa5c0488_240.webp,Jecelyn Yeen,she / her
https://io.google/2022/speakers/jeff-huleatt/,https://io.google/2022/speakers/57a1eb56-1a3a-4086-858d-678797bf44d9_240.webp,Jeff Huleatt,he / him
https://io.google/2022/speakers/jen-gennai/,https://io.google/2022/speakers/ea7b2f7e-0535-44e7-a358-aee2c3830f79_240.webp,Jen Gennai,
https://io.google/2022/speakers/jenine-durland/,https://io.google/2022/speakers/95a94f75-1082-4034-a577-054b4028390f_240.webp,Jenine Durland,she / her
https://io.google/2022/speakers/jennifer-chui/,https://io.google/2022/speakers/8ed010ac-5d77-48e6-98be-24e202715635_240.webp,Jennifer Chui,she / her
https://io.google/2022/speakers/jenny-cong/,https://io.google/2022/speakers/671b2232-2b82-4908-85c6-ccc8ed027c5e_240.webp,Jenny Cong,she / her
https://io.google/2022/speakers/jesse-williams/,https://io.google/2022/speakers/6ad03bd0-c4d0-48ff-a183-75b03a694d40_240.webp,Jesse Williams,she / her
https://io.google/2022/speakers/jessica-earley-cha/,https://io.google/2022/speakers/2b28975d-9bed-4c62-afdc-6b7ec77712e0_240.webp,Jessica Earley-Cha,she / her
https://io.google/2022/speakers/jessica-jong/,https://io.google/2022/speakers/db094709-d984-46a2-b525-fac9c0c423e9_240.webp,Jessica Jong,she / her
https://io.google/2022/speakers/jian-zhou/,https://io.google/2022/speakers/c64b77b5-1842-45be-ac63-436a20110d07_240.webp,Jian Zhou,she / her
https://io.google/2022/speakers/jing-ji/,https://io.google/2022/speakers/1046bbda-82b7-4930-8880-d1ce71a91062_240.webp,Jing Ji,he / him
https://io.google/2022/speakers/john-kimani/,https://io.google/2022/speakers/8974ac8b-07dd-4e4c-82e5-36b4d89ebd69_240.webp,John Kimani,he / him
https://io.google/2022/speakers/john-mcdole/,https://io.google/2022/speakers/3b085703-08af-4cdf-837e-8d11623f8f75_240.webp,John McDole,he / him
https://io.google/2022/speakers/john-mueller/,https://io.google/2022/speakers/661b03e2-8fdd-40f6-b95b-c721a6cddd50_240.webp,John Mueller,he / him
https://io.google/2022/speakers/jolanda-verhoef/,https://io.google/2022/speakers/8bb8183d-0cab-4617-b637-36f210650d7d_240.webp,Jolanda Verhoef,she / her
https://io.google/2022/speakers/jon-markoff/,https://io.google/2022/speakers/c5a12e94-14eb-4e6f-941a-3f8ae8ba9977_240.webp,Jon Markoff,he / him
https://io.google/2022/speakers/jose-ugia/,https://io.google/2022/speakers/ab9fe744-7e82-4a8e-92e9-3ebf809586e6_240.webp,Jose Ugia,he / him
https://io.google/2022/speakers/julia-feldman/,https://io.google/2022/speakers/1d6bc57c-0d78-4257-82db-92c7134b014c_240.webp,Julia Feldman,
https://io.google/2022/speakers/justin-mccandless/,https://io.google/2022/speakers/cf059dfb-5c9c-40f1-8bd6-dd16dc356789_240.webp,Justin McCandless,
https://io.google/2022/speakers/kara-yu/,https://io.google/2022/speakers/62616c71-70f9-4cbc-af83-68a75381c172_240.webp,Kara Yu,she / her
https://io.google/2022/speakers/karen-ng/,https://io.google/2022/speakers/d0beb585-fd76-41ac-94c0-57484d52d57c_240.webp,Karen Ng,she / her
https://io.google/2022/speakers/karen-zeng/,https://io.google/2022/speakers/74ffd577-264d-49f9-8de4-53236effc863_240.webp,Karen Zeng,she / her
